L, L, L, L, L, L, L, L, L, L, L, L, L, L, L, L, L, L, L, L, L, L, L, L, L
L, L, L, L, L, L, L, L, L, L, L, L, L, L, L, L, L, L, L, O, L, O, L, O, L
L, L, O, O, O, O, O, O, O, L, L, L, L, L, L, L, L, L, L, L, L, L, L, L, L
L, L, O, O, O, O, O, O, O, L, L, L, L, L, L, L, L, L, L, L, L, L, L, O, L
L, L, O, O, O, O, O, O, O, L, L, L, L, L, L, L, L, L, L, L, L, L, L, L, L
L, L, O, O, O, O, O, O, O, L, L, L, L, L, L, L, L, L, L, L, L, L, L, O, L
L, L, L, L, L, L, O, O, L, L, L, L, L, O, O, O, O, O, O, O, L, L, L, L, L
L, L, L, L, L, L, O, O, L, L, L, L, L, O, O, O, O, O, O, O, L, L, L, L, L
L, L, L, L, L, L, O, O, L, L, L, L, L, O, O, O, O, O, O, O, S, L, L, L, L
L, L, L, L, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, L, L, L, L
L, L, L, L, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, L, L, L, L
L, L, L, L, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, L, L, L, L
L, L, L, L, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, L, L, L, L
L, L, L, L, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, L, L, L, L
L, L, L, L, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, L, L, L, L
L, L, L, L, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, L, L, L, L
L, L, L, L, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, L, L, L, L
L, L, L, L, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, L, L, L, L
L, L, L, L, L, L, L, L, L, L, O, O, O, L, L, L, L, L, L, L, L, L, L, L, L
L, L, L, L, L, L, L, L, O, L, O, O, O, L, O, L, L, L, L, L, L, L, L, L, L
L, L, L, L, L, L, L, L, L, L, O, O, O, L, L, L, L, L, L, L, L, L, L, L, L
L, L, L, L, L, L, L, L, O, L, O, O, O, L, O, L, L, L, L, L, L, L, L, L, L
L, L, L, L, L, L, L, L, L, L, O, O, O, L, L, L, L, L, L, L, L, L, L, L, L
L, L, L, L, L, L, L, L, O, L, O, O, O, L, O, L, L, L, L, L, L, L, L, L, L
L, L, L, L, L, L, L, L, L, L, O, O, O, L, L, L, L, L, L, L, L, L, L, L, L
